quotes,-,<td>,id_quotes,quotes,,.//*[@id='id_quotes'],html/body/form/table/tbody/tr[2]/td,
Application  title ,-,<span>,id_f_title,f_title,Sign Up,.//*[@id='id_f_title'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[1]/td[2],
Client?s City and State,-,<span>,id_current_location,f_label_r,"San Francisco, CA",.//*[@id='id_current_location'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[1]/td[5]/table/tbody/tr[1]/td/span,
Client?s current weather,-,<img>,id_weather_icon,-,-,.//*[@id='id_weather_icon'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[1]/td[5]/table/tbody/tr[2]/td[2]/img,
Client?s current temperature,-,<span>,id_temperature,info,64ÿ?,.//*[@id='id_temperature'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[1]/td[5]/table/tbody/tr[2]/td[3]/span,
First Name,fname,<input>,id_fname,-,-,.//*[@id='id_fname'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[2]/td[2]/input,
Last Name,lname,<input>,id_lname,-,-,.//*[@id='id_lname'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[2]/td[5]/input,
Email Address,email,<input>,id_email,-,-,.//*[@id='id_email'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[3]/td[2]/input,
Phone Number,phone,<input>,id_phone,-,-,.//*[@id='id_phone'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[3]/td[5]/input,
red arrow   First Name,,<img>,-,-,"alt=""error""",.//*[@id='fname_error']/img,html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[2]/td[3]/span/img,
Error message,,,ErrorLine,Errline,Pleaseÿenter First Name,.//*[@id='ErrorLine'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[5]/td[5]/span,
red arrow Last Name,,<img>,-,-,"alt=""error""",.//*[@id='lname_error']/img,html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[2]/td[6]/span/img,
Error message,,,ErrorLine,Errline,Pleaseÿenter Last Name,.//*[@id='ErrorLine'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[5]/td[5]/span,
red arrow Email Address,,<img>,-,-,"alt=""error""",.//*[@id='email_error']/img,html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[3]/td[3]/span/img,
Error message,,,ErrorLine,Errline,Pleaseÿenter Email Address,.//*[@id='ErrorLine'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[5]/td[5]/span,
red arrow Phone Number,,<img>,-,-,"alt=""error""",.//*[@id='phone_error']/img,html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[3]/td[6]/span/img,
Error message,,,ErrorLine,Errline,Pleaseÿenter Phone Number,.//*[@id='ErrorLine'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[5]/td[5]/span,
Gender Male,g_radio,<input>,id_g_radio_01,radio,Male,.//*[@id='id_g_radio_01'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[4]/td[2]/table/tbody/tr/td[1]/table[2]/tbody/tr/td[2]/input,
Gender Female,g_radio,<input>,id_g_radio_02,radio,Female,.//*[@id='id_g_radio_02'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[4]/td[2]/table/tbody/tr/td[1]/table[2]/tbody/tr/td[4]/input,
State,state,<select>,id_state,select,,.//*[@id='id_state'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[4]/td[5]/select,
Agreement on Terms,a_checkbox,<input>,id_checkbox,checkbox,Agreed,.//*[@id='id_checkbox'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[5]/td[2]/input,
Facebook,-,<img>,id_img_facebook,-,Facebook,.//*[@id='id_img_facebook'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[6]/td[2]/a[1]/img,
Twitter,-,<img>,id_img_twitter,-,Twitter,.//*[@id='id_img_twitter'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[6]/td[2]/a[2]/img,
Flickr,-,<img>,id_img_flickr,-,Flickr,.//*[@id='id_img_flickr'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[6]/td[2]/a[3]/img,
YouTube,-,<img>,id_img_youtube,-, YouTube,.//*[@id='id_img_youtube'],html/body/form/table/tbody/tr[3]/td/table/tbody/tr/td/table/tbody/tr[6]/td[2]/a[4]/img,
